periodo,anio,mes,agua_promedio,temp_media
2021-01-01,2021,1,1.1367546457028925,15.997605080065995
2021-02-01,2021,2,0.4878066426000597,16.070436518676956
2021-03-01,2021,3,0.6076898042752286,15.061290325989608
2021-04-01,2021,4,1.3058147452887527,13.18989182167143
2021-05-01,2021,5,1.7453587945597278,11.04542461744926
2021-06-01,2021,6,2.1632993228176014,9.521666669569353
2021-07-01,2021,7,1.5089861819565964,9.038380515987914
2021-08-01,2021,8,2.0619486542253056,9.70987493801835
2021-09-01,2021,9,1.2136734735676828,10.879047636071942
2021-10-01,2021,10,0.8689378801168365,12.344839693564094
2021-11-01,2021,11,0.5259726645050866,13.928846840882171
2021-12-01,2021,12,0.47835692105712585,15.798826380363097
2022-01-01,2022,1,0.8757575780381477,15.876995783883068
2022-02-01,2022,2,0.7941558487057514,16.0306998560955
2022-03-01,2022,3,0.9911045979097869,14.614190304605124
2022-04-01,2022,4,1.9140067354697572,12.11176768047641
2022-05-01,2022,5,1.2497556221022905,10.243580979760887
2022-06-01,2022,6,2.3672390634639293,9.248585860779892
2022-07-01,2022,7,3.0526230105940275,8.411942004647656
2022-08-01,2022,8,1.7865429264022532,9.194746445109997
2022-09-01,2022,9,1.2317525788860018,10.235773210168603
2022-10-01,2022,10,1.2094778880838701,12.09068840482939
2022-11-01,2022,11,0.6583878767929774,14.80075782636271
2022-12-01,2022,12,0.7060824750932222,16.476512029004056
2023-01-01,2023,1,0.5963748122873028,16.480000015347052
2023-02-01,2023,2,0.696462588942274,16.960867362317384
2023-03-01,2023,3,1.14473118825076,15.591981575071538
2023-04-01,2023,4,1.3968571484680214,13.325682544511935
2023-05-01,2023,5,1.5748694339335056,11.28172044531312
2023-06-01,2023,6,2.632126989319684,10.275619051205734
2023-07-01,2023,7,2.377910905893314,9.752534580839578
2023-08-01,2023,8,3.2944700584273368,10.413256538637588
2023-09-01,2023,9,2.405238099183355,10.78269842069064
2023-10-01,2023,10,0.967004611406092,11.949769589007358
2023-11-01,2023,11,1.5001904769454684,13.199269848993373
2023-12-01,2023,12,0.4872811084266998,15.37992320874228
2024-01-01,2024,1,0.5075369367051958,16.97068135147897
2024-02-01,2024,2,0.743184019459992,17.247164053402425
2024-03-01,2024,3,1.1361772721818064,15.483011761421373
2024-04-01,2024,4,1.4592211838892872,12.811464175681737
2024-05-01,2024,5,2.330660234286568,8.697347010782604
2024-06-01,2024,6,4.795077873882475,9.198037397401912
2024-07-01,2024,7,1.0630991878973493,7.968947844347897
2024-08-01,2024,8,2.2218570990225692,8.760054271941106
2024-09-01,2024,9,2.019626167131083,10.37803738681234
2024-10-01,2024,10,0.6053662947211993,13.023605666693019
2024-11-01,2024,11,1.2461370734410866,14.246105912752519
2024-12-01,2024,12,0.4452818824219208,15.833886048708528
2025-01-01,2025,1,0.6193548422402239,17.57148026068742
2025-02-01,2025,2,0.7885847823378519,17.08401202310737
2025-03-01,2025,3,1.3256255664809626,15.423756408792933
2025-04-01,2025,4,1.3255140180412297,12.733925232337644
2025-05-01,2025,5,2.1520952643859736,10.807898707416067
2025-06-01,2025,6,2.262554520250202,8.401838003721007
2025-07-01,2025,7,2.2966234534664403,9.159662355962812
2025-08-01,2025,8,1.881248113478851,9.729906549936125
2025-09-01,2025,9,1.9088473478047834,11.058224310024968
2025-10-01,2025,10,1.335815495444433,12.77772083888625
2025-11-01,2025,11,0.5467289726960696,14.692803744697867
2025-12-01,2025,12,0.7219637466949098,16.43664652527369
